decimalLongitude,decimalLatitude,species
16.22756,2.714205,Myonycteris torquata
15.872083,1.510333,Myonycteris torquata
15.967528,1.500556,Myonycteris torquata
13.200233,1.144625,Myonycteris torquata
17.994207,3.865719,Myonycteris torquata
12.8667,6.9667,Myonycteris torquata
11.75,3.4333,Myonycteris torquata
10.466667,3.383333,Myonycteris torquata
9.82,1.85,Myonycteris torquata
10.497222,-2.283333,Myonycteris torquata
10.61667,4.33333,Myonycteris torquata
31.58333,1.75,Myonycteris torquata
20.53036,-0.71316,Myonycteris torquata
24.03667,3.32173,Myonycteris torquata
29.361689,3.033327,Myonycteris torquata
28.667206,-2.275714,Myonycteris torquata
11.389583,4.042967,Myonycteris torquata
28.756533,-2.317822,Myonycteris torquata
15.512086,-3.209373,Myonycteris torquata
11.15429,2.92417,Myonycteris torquata
-7.116667,5.75,Myonycteris torquata
-8.411944,7.616667,Myonycteris torquata
9.6796,4.8224,Myonycteris torquata
-11.731,9.065,Myonycteris torquata
12.552,6.4904,Myonycteris torquata
-10.0807,10.2181,Myonycteris torquata
23.47,3.39,Myonycteris torquata
29.666667,4.583333,Myonycteris torquata
29.133333,3.683333,Myonycteris torquata
9.116667,4.383333,Myonycteris torquata
1.1166,10.9333,Myonycteris torquata
-10.537492,6.222133,Myonycteris torquata
11.839411,-0.628448,Myonycteris torquata
12.948474,6.294169,Myonycteris torquata
23.419828,-3.338629,Myonycteris torquata
20.92603,0.16764,Myonycteris torquata
-2.4,5.2,Myonycteris torquata
-7.771,5.37,Myonycteris torquata
-9.736,8.032,Myonycteris torquata
-10.651,7.449,Myonycteris torquata
-8.573,8.139,Myonycteris torquata
-8.937,8.525,Myonycteris torquata
24.116667,-10.966667,Myonycteris torquata
31.017522,1.512899,Myonycteris torquata
31.687078,0.862014,Myonycteris torquata
8.859491,5.069347,Myonycteris torquata
-0.73,6.55,Myonycteris torquata
-2.47,5.38,Myonycteris torquata
9.87,-1.95,Myonycteris torquata
-8.13,6.22,Myonycteris torquata
-0.2,5.67,Myonycteris torquata
-2.07,4.85,Myonycteris torquata
-6.75,5.82,Myonycteris torquata
-0.85,6.1,Myonycteris torquata
21.85,2.58,Myonycteris torquata
9.9,-1.8,Myonycteris torquata
-4.05,5.38,Myonycteris torquata
6.72,7.85,Myonycteris torquata
1.603764,11.243179,Myonycteris torquata
9.4,4.65,Myonycteris torquata
9.2,4.15,Myonycteris torquata
9.2,4.016667,Myonycteris torquata
10.733333,3.233333,Myonycteris torquata
13.616667,3.166667,Myonycteris torquata
30.11,-0.36,Myonycteris torquata
30.15,0.8,Myonycteris torquata
30.88,1.25,Myonycteris torquata
11.517,3.85,Myonycteris torquata
26.854,-10.577,Myonycteris torquata
17.157,3.898,Myonycteris torquata
10.045,2.397,Myonycteris torquata
14.63,-9.13,Myonycteris torquata
27.48,-11.68,Myonycteris torquata
22.43,-5.88,Myonycteris torquata
