decimalLongitude,decimalLatitude,species
12.85749,0.562433,Epomops franqueti
-0.172041,5.853238,Epomops franqueti
11.6,-0.8,Epomops franqueti
11.9,2.7833,Epomops franqueti
11.2833,2.3833,Epomops franqueti
-4.133462,5.340867,Epomops franqueti
11.0667,4.8333,Epomops franqueti
21.785191,2.575111,Epomops franqueti
11.25,4.6,Epomops franqueti
11.5167,3.8667,Epomops franqueti
11.1,3.55,Epomops franqueti
11.7667,4.7667,Epomops franqueti
29.05,1.35,Epomops franqueti
21.414082,4.929832,Epomops franqueti
21.348211,4.800039,Epomops franqueti
21.24,4.8,Epomops franqueti
11.9833,2.9333,Epomops franqueti
-5.3,6.85,Epomops franqueti
10.483333,3.416667,Epomops franqueti
27.866694,3.7,Epomops franqueti
9.42,1.17,Epomops franqueti
10.13,1.85,Epomops franqueti
9.82,1.85,Epomops franqueti
28.5833,-1.4166,Epomops franqueti
32.283333,-0.01,Epomops franqueti
12.406667,2.08,Epomops franqueti
32.5,0.4348,Epomops franqueti
15.315,-4.32972,Epomops franqueti
31.515381,-1.094181,Epomops franqueti
32.4058,0.3623,Epomops franqueti
10.56667,4.03333,Epomops franqueti
14.36667,-11.12121,Epomops franqueti
12.36667,3.01667,Epomops franqueti
30.12,-0.28,Epomops franqueti
32.049999,0.2833,Epomops franqueti
20.52779,-0.71493,Epomops franqueti
24.05685,3.31344,Epomops franqueti
14.604424,0.404588,Epomops franqueti
29.345701,3.010918,Epomops franqueti
0.646368,8.145415,Epomops franqueti
27.553888,-1.216784,Epomops franqueti
28.756533,-2.317822,Epomops franqueti
-0.833333,6.083333,Epomops franqueti
18.7745,-4.99385,Epomops franqueti
15.512086,-3.209373,Epomops franqueti
13,5,Epomops franqueti
10,-1,Epomops franqueti
11.136182,-1.120939,Epomops franqueti
30.907173,1.955331,Epomops franqueti
9.3791,5.67075,Epomops franqueti
11.7627,3.44293,Epomops franqueti
31.71428,1.68688,Epomops franqueti
-11.77686,8.64708,Epomops franqueti
31.48199,1.73635,Epomops franqueti
-4.833333,5.9,Epomops franqueti
-4.883333,5.2,Epomops franqueti
-3.083333,5.35,Epomops franqueti
-3.887778,5.362222,Epomops franqueti
-6.316667,5.666667,Epomops franqueti
-5.933333,6.45,Epomops franqueti
-6.025556,7.096944,Epomops franqueti
-3.516667,5.95,Epomops franqueti
-5.012222,6.2125,Epomops franqueti
-2.983333,5.65,Epomops franqueti
-4.289569,6.195917,Epomops franqueti
-6.483333,9.533333,Epomops franqueti
-6.085278,4.953611,Epomops franqueti
-4.016667,5.35,Epomops franqueti
-3.203889,7.131111,Epomops franqueti
-4,6,Epomops franqueti
9.704572,-2.259419,Epomops franqueti
13.015724,-1.79605,Epomops franqueti
9,4.1833,Epomops franqueti
9.2412,4.9127,Epomops franqueti
-10.0807,10.281,Epomops franqueti
9.1164,4.3842,Epomops franqueti
9.1727,4.2174,Epomops franqueti
9.8274,3.8856,Epomops franqueti
23.47,3.38,Epomops franqueti
23.46,3.28,Epomops franqueti
29.15,1.05,Epomops franqueti
29.133333,3.683333,Epomops franqueti
29.75,0.333333,Epomops franqueti
29.583333,4.583333,Epomops franqueti
16.232613,2.985676,Epomops franqueti
9.493334,4.245,Epomops franqueti
9.977778,3.075278,Epomops franqueti
10.416667,3.083333,Epomops franqueti
14.140555,11.04639,Epomops franqueti
10.233334,6.05,Epomops franqueti
9.266944,4.465833,Epomops franqueti
9.561389,4.047222,Epomops franqueti
14.872423,0.585705,Epomops franqueti
10.167,-1.583,Epomops franqueti
1.782248,6.81561,Epomops franqueti
1.1166,10.9333,Epomops franqueti
11.839411,-0.628448,Epomops franqueti
30.385185,7.657782,Epomops franqueti
20.92603,0.16764,Epomops franqueti
31.167,-10.217,Epomops franqueti
11.66573,-0.134083,Epomops franqueti
14.348,0.692,Epomops franqueti
22.25,-13.125,Epomops franqueti
32.047777,1.990532,Epomops franqueti
31.867891,2.094503,Epomops franqueti
32.137575,2.195233,Epomops franqueti
31.142114,1.425678,Epomops franqueti
32.888758,0.445128,Epomops franqueti
31.687078,0.862014,Epomops franqueti
32.985925,0.389981,Epomops franqueti
25.101257,-2.747295,Epomops franqueti
3.72703,6.88964,Epomops franqueti
-0.2,5.67,Epomops franqueti
-1.92,4.82,Epomops franqueti
9.8931,-1.7939,Epomops franqueti
-0.22,5.77,Epomops franqueti
-1,5.87,Epomops franqueti
-2.07,7.75,Epomops franqueti
-4.08,5.7,Epomops franqueti
-5.25,5.52,Epomops franqueti
9.9,-1.93,Epomops franqueti
-0.73,6.55,Epomops franqueti
0.53,8.25,Epomops franqueti
-6.75,5.82,Epomops franqueti
-2.07,4.85,Epomops franqueti
28.3827,4.57814,Epomops franqueti
-1.35,5.25,Epomops franqueti
-1.8,8.07,Epomops franqueti
-2.47,5.38,Epomops franqueti
0.42,6.08,Epomops franqueti
0.48,6.93,Epomops franqueti
27.7123,4.89519,Epomops franqueti
-2.33,6.53,Epomops franqueti
0.93,7.48,Epomops franqueti
-8.13,6.22,Epomops franqueti
-7.37,5.35,Epomops franqueti
19.35,3.03,Epomops franqueti
0.43,6.85,Epomops franqueti
2.166667,6.916667,Epomops franqueti
1.758022,6.303553,Epomops franqueti
15.870333,1.509055,Epomops franqueti
-12.533333,8.683333,Epomops franqueti
9.166667,8.333333,Epomops franqueti
3.616667,7.433333,Epomops franqueti
3.916667,7.466667,Epomops franqueti
-1.5,6.75,Epomops franqueti
7.083333,6.466667,Epomops franqueti
-0.216667,6.2,Epomops franqueti
5.833333,6.133333,Epomops franqueti
0.85,6.133333,Epomops franqueti
10.116667,6.1,Epomops franqueti
10.15,5.916667,Epomops franqueti
10.25,5.633333,Epomops franqueti
