decimalLongitude,decimalLatitude,species
8.75,5.583333,Epomops franqueti
9.75,4.916667,Epomops franqueti
9.666667,4.75,Epomops franqueti
9.4,4.65,Epomops franqueti
9.5,4.616667,Epomops franqueti
11.633333,4.45,Epomops franqueti
9.5,4.35,Epomops franqueti
9.4,4.266667,Epomops franqueti
11.533333,4.166667,Epomops franqueti
9.216667,4.133333,Epomops franqueti
9.716667,4.066667,Epomops franqueti
9.2,4.016667,Epomops franqueti
11.016667,3.283333,Epomops franqueti
10.833333,3.283333,Epomops franqueti
11.4,3.25,Epomops franqueti
10.733333,3.166667,Epomops franqueti
9.933333,2.933333,Epomops franqueti
31.833333,-2.33333,Epomops franqueti
32.616667,0.533333,Epomops franqueti
32.583333,0.316667,Epomops franqueti
29.883333,0.066667,Epomops franqueti
30.12,-0.37,Epomops franqueti
29.67,-1,Epomops franqueti
30.88,1.25,Epomops franqueti
31.58,1.75,Epomops franqueti
30.17,0.83,Epomops franqueti
30.42,0.5,Epomops franqueti
13.2,1.217,Epomops franqueti
18.017,3.883,Epomops franqueti
18.575,3.777,Epomops franqueti
17.157,3.898,Epomops franqueti
18.538,4.594,Epomops franqueti
10.045,2.397,Epomops franqueti
8.859,5.009,Epomops franqueti
12.914,3.324,Epomops franqueti
2.1333,6.7333,Epomops franqueti
1.85,6.2833,Epomops franqueti
20.850538,-7.377586,Epomops franqueti
15.13,-8.38,Epomops franqueti
16.38,-9.63,Epomops franqueti
14.88,-9.38,Epomops franqueti
31.38,-8.85,Epomops franqueti
26.72,-9.07,Epomops franqueti
13.05,-5.83,Epomops franqueti
