decimalLongitude,decimalLatitude,species
6.72,7.85,Hypsignathus monstrosus
-4.52,11.88,Hypsignathus monstrosus
10.434814,0.588935,Hypsignathus monstrosus
2.118633,6.74778,Hypsignathus monstrosus
1.603764,11.243179,Hypsignathus monstrosus
-13.216667,8.483333,Hypsignathus monstrosus
-2.033333,7.75,Hypsignathus monstrosus
0.85,6.133333,Hypsignathus monstrosus
-0.283333,6.1,Hypsignathus monstrosus
-2.183333,4.85,Hypsignathus monstrosus
9.216667,4.116667,Hypsignathus monstrosus
12.516667,3.9,Hypsignathus monstrosus
13.583333,3.15,Hypsignathus monstrosus
34.2,0.7,Hypsignathus monstrosus
32.916667,0.5,Hypsignathus monstrosus
9.88195,3.501915,Hypsignathus monstrosus
30.42,0.5,Hypsignathus monstrosus
30.15,0.8,Hypsignathus monstrosus
18.538,4.594,Hypsignathus monstrosus
17.157,3.898,Hypsignathus monstrosus
11.283,5.374,Hypsignathus monstrosus
12.914,3.324,Hypsignathus monstrosus
20.850538,-7.377586,Hypsignathus monstrosus
35.216667,7.35,Hypsignathus monstrosus
